data,precipitacao,temperatura,umidade,ano_semana,chuva_lag1,chuva_lag2
2023-02-19,21.4,25.45,68.99,2023-08,106.6,17.2
2023-02-26,29.0,23.94,75.4,2023-09,21.4,106.6
2023-03-05,19.6,25.13,68.29,2023-10,29.0,21.4
2023-03-12,30.4,23.88,75.6,2023-11,19.6,29.0
2023-03-19,42.8,22.77,81.39,2023-12,30.4,19.6
2023-03-26,58.4,23.36,74.65,2023-13,42.8,30.4
2023-04-02,0.0,24.95,64.0,2023-14,58.4,42.8
2023-04-09,34.4,23.42,74.15,2023-15,0.0,58.4
2023-04-16,52.4,23.57,78.18,2023-16,34.4,0.0
2023-04-23,10.2,23.35,73.07,2023-17,52.4,34.4
2023-04-30,54.4,23.81,72.46,2023-18,10.2,52.4
2023-05-07,0.2,22.76,65.08,2023-19,54.4,10.2
2023-05-14,1.0,22.05,66.67,2023-20,0.2,54.4
2023-05-21,0.0,20.96,62.36,2023-21,1.0,0.2
2023-05-28,0.0,21.72,61.74,2023-22,0.0,1.0
2023-06-04,0.0,22.22,64.08,2023-23,0.0,0.0
2023-06-11,0.0,21.36,60.39,2023-24,0.0,0.0
2023-06-18,12.6,21.45,69.97,2023-25,0.0,0.0
2023-06-25,0.0,20.21,58.73,2023-26,12.6,0.0
2023-07-02,0.0,20.62,56.76,2023-27,0.0,12.6
2023-07-09,0.0,19.81,54.19,2023-28,0.0,0.0
2023-07-16,0.0,21.5,60.39,2023-29,0.0,0.0
2023-07-23,0.0,22.9,53.03,2023-30,0.0,0.0
2023-07-30,0.0,22.51,49.45,2023-31,0.0,0.0
2023-08-06,0.0,22.84,45.93,2023-32,0.0,0.0
2023-08-13,0.0,24.52,40.68,2023-33,0.0,0.0
2023-08-20,0.4,23.5,45.75,2023-34,0.0,0.0
2023-08-27,2.6,24.47,55.43,2023-35,0.4,0.0
2023-09-03,29.0,25.42,64.47,2023-36,2.6,0.4
2023-09-10,4.4,26.29,50.14,2023-37,29.0,2.6
2023-09-17,9.0,26.11,45.99,2023-38,4.4,29.0
2023-09-24,1.2,28.29,44.01,2023-39,9.0,4.4
2023-10-01,9.4,27.85,58.26,2023-40,1.2,9.0
2023-10-08,27.0,26.59,65.24,2023-41,9.4,1.2
2023-10-15,25.2,27.71,60.17,2023-42,27.0,9.4
2023-10-22,15.0,28.41,48.97,2023-43,25.2,27.0
2023-10-29,10.4,27.4,60.28,2023-44,15.0,25.2
2023-11-05,35.6,26.85,62.33,2023-45,10.4,15.0
2023-11-12,5.8,27.93,52.21,2023-46,35.6,10.4
2023-11-19,6.2,28.82,50.35,2023-47,5.8,35.6
2023-11-26,74.6,25.86,69.65,2023-48,6.2,5.8
2023-12-03,63.4,25.58,69.16,2023-49,74.6,6.2
2023-12-10,16.4,26.23,64.63,2023-50,63.4,74.6
2023-12-17,44.4,26.79,60.46,2023-51,16.4,63.4
2023-12-24,79.8,24.46,74.88,2023-52,44.4,16.4
2023-12-31,62.6,26.24,69.96,2023-53,79.8,44.4
